mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00240178108215332,0.0004876929376707363,0.001346445083618164,0.0004328397369301456,7.5,{'alpha': 7.5},0.606979523944963,0.7014598248945907,0.6459732758485321,0.6858911900144111,0.6467506147398608,0.6574108858884715,0.033284288553416905,26
0.002107572555541992,0.0006640365577768739,0.0015992164611816407,0.00037084780620258375,7.75,{'alpha': 7.75},0.6067192755625144,0.7015799705539016,0.6460383741379804,0.6857842985334994,0.6467159650100764,0.6573675767595946,0.033374552942182216,28
0.002501821517944336,0.0006293237236135186,0.0014000415802001953,0.0004897456867757939,8.0,{'alpha': 8.0},0.6064604694126705,0.7016940604736603,0.6461014925397013,0.6856761589723963,0.6466784201363285,0.6573221203069515,0.03346317066658373,30
0.0022001266479492188,0.00039994720552788215,0.0017998218536376953,0.00040030517771227106,8.25,{'alpha': 8.25},0.6062030688936616,0.7018023012927863,0.6461626690336968,0.6855668220146516,0.6466380999450918,0.6572745922359775,0.03355019356638432,31
0.0030609130859375,0.0005830797760620228,0.0021346092224121095,0.00045684514677010854,8.5,{'alpha': 8.5},0.6059470386403911,0.7019048901356174,0.6462219400250022,0.685456335863833,0.6465951181502148,0.6572250645630117,0.03363567137821952,33
0.002372550964355469,0.00019123033304351992,0.001654815673828125,0.0005845743984737356,8.75,{'alpha': 8.75},0.6056923444784534,0.702002015155907,0.6462793404442931,0.6853447463910589,0.6465495827228283,0.6571736058385081,0.03371965183338694,34
0.002654552459716797,0.000435046870149463,0.001209592819213867,0.00039542655672150537,9.0,{'alpha': 9.0},0.6054389533799293,0.7020938560443392,0.6463349038409608,0.6852320972724771,0.6465015962356127,0.6571202813546638,0.03380218075085559,36
0.0022132396697998047,0.0004144627598991332,0.0018560409545898438,0.00018979816504611363,9.25,{'alpha': 9.25},0.6051868334209018,0.7021805845023448,0.6463886624692791,0.6851184301174644,0.6464512561834155,0.6570651533386812,0.03388330212570413,38
0.0028217315673828127,0.00023142496526459635,0.0016654491424560546,0.0004346821380241956,9.5,{'alpha': 9.5},0.6049359537406243,0.7022623646847594,0.6464406473682207,0.6850037845882355,0.646398655282046,0.6570082811327772,0.03396305821319461,39
0.0021155834197998046,0.0002126459891460501,0.002180147171020508,0.0003433007458414583,9.75,{'alpha': 9.75},0.6046862845022805,0.70233935361366,0.6464908884354389,0.684888198511507,0.6463438817469119,0.6569497213619597,0.034041489608684965,40
